day,open,high,low,close,volume
2026-01-15,35.0,35.26,34.42,34.82,2607787
2026-01-16,34.88,35.92,34.45,35.65,3693480
2026-01-19,35.51,35.99,35.08,35.27,2567140
2026-01-20,35.27,35.49,34.17,34.65,2914635
2026-01-21,34.35,35.32,34.09,34.96,2221889
2026-01-22,34.88,35.61,34.7,35.43,2569900
2026-01-23,35.46,35.46,35.03,35.34,2274653
2026-01-26,35.4,35.66,34.37,34.49,2385168
2026-01-27,34.55,35.33,33.46,35.29,2824229
2026-01-28,35.29,35.4,33.72,34.1,2901127
2026-01-29,33.84,34.1,32.6,32.61,3347680
2026-01-30,32.7,34.14,32.41,34.09,3323493
2026-02-02,33.84,34.4,33.33,33.42,2090880
2026-02-03,33.61,34.73,33.42,34.71,2442000
2026-02-04,34.7,35.75,34.3,34.72,2632220
2026-02-05,34.44,34.87,33.98,34.2,1636800
2026-02-06,33.87,34.99,33.6,34.27,2158200
2026-02-09,34.7,35.23,34.46,34.88,2223680
2026-02-10,34.87,35.49,34.71,34.97,1892580
2026-02-11,34.91,35.66,34.72,35.32,2634234
2026-02-12,35.58,36.66,35.22,36.2,4464329
2026-02-13,35.98,36.48,35.73,35.75,2710948
2026-02-24,36.32,36.77,35.7,36.2,2460378
2026-02-25,36.34,36.5,35.91,36.2,2534840
2026-02-26,36.25,37.1,35.96,37.08,3251700
2026-02-27,36.75,36.83,36.11,36.3,2521480
2026-03-02,35.9,36.5,35.4,35.85,3129928
2026-03-03,36.3,36.69,34.95,34.95,3707071
2026-03-04,34.55,35.38,34.3,34.8,2128114
2026-03-05,35.63,36.28,34.95,35.15,2162182
2026-03-06,35.5,38.29,35.5,37.06,5793021
2026-03-09,36.35,36.8,35.12,36.22,4349500
2026-03-10,36.69,38.25,36.69,38.08,4766841
2026-03-11,38.0,39.28,37.89,38.25,5776340
2026-03-12,38.26,38.3,36.75,37.1,3288929
2026-03-13,36.99,37.26,36.2,36.6,3928295
2026-03-16,36.3,38.99,35.9,38.78,6195381
2026-03-17,38.21,38.53,37.0,37.3,5416220
2026-03-18,37.4,39.34,37.08,38.85,8244682
2026-03-19,38.08,40.73,37.99,39.44,10535006
2026-03-20,40.23,41.48,37.56,37.6,9972498
2026-03-23,36.01,36.58,34.71,35.07,6853043
2026-03-24,35.62,36.7,34.46,36.49,5377177
2026-03-25,37.51,43.79,37.51,43.79,7776037
2026-03-26,42.58,43.35,40.39,40.58,14218420
2026-03-27,40.02,42.46,39.62,41.62,13539707
2026-03-30,40.52,41.5,39.77,41.37,8589266
2026-03-31,40.5,40.67,38.88,38.98,8051581
2026-04-01,39.99,42.39,39.66,40.0,9421166
2026-04-02,39.5,40.8,38.35,38.69,6959523
2026-04-03,39.66,42.78,39.46,39.87,9264994
2026-04-07,39.88,41.67,39.88,41.54,10339712
2026-04-08,42.39,43.57,41.12,43.49,12561037
2026-04-09,42.48,43.18,41.95,42.52,8675911
2026-04-10,42.97,45.0,42.26,45.0,12136088
2026-04-13,44.25,47.6,43.89,46.59,11534363
2026-04-14,45.76,48.5,44.58,48.5,11108153
2026-04-15,47.95,47.95,44.12,44.5,10153718
2026-04-16,43.99,47.8,43.68,45.65,9411051
2026-04-17,45.0,46.79,44.88,45.36,7990310
2026-04-20,45.12,47.2,44.98,47.12,9142714
2026-04-21,46.35,46.97,45.61,46.02,5862640
2026-04-22,45.74,46.3,44.71,45.54,5993708
2026-04-23,45.55,45.55,42.42,42.57,7748889
2026-04-24,42.46,42.92,41.29,41.56,4575555
2026-04-27,41.8,42.59,41.31,42.2,3598353
2026-04-28,41.75,41.88,39.83,40.2,4156275
2026-04-29,39.9,40.73,39.68,40.26,2943457
2026-04-30,40.3,40.56,39.46,40.08,2705247
2026-05-06,40.96,41.99,40.71,41.74,5122417
2026-05-07,41.89,42.96,41.39,42.69,5122147
2026-05-08,42.01,42.94,41.81,42.93,4075097
2026-05-11,43.14,43.64,42.51,43.4,5089061
2026-05-12,43.2,45.35,43.2,44.86,7303361
2026-05-13,44.18,44.9,43.8,44.47,5028846
2026-05-14,44.7,44.79,42.79,42.79,4266142
2026-05-15,43.04,44.26,42.52,43.01,4191809
2026-05-18,42.55,42.92,41.77,42.43,3387163
2026-05-19,41.84,42.22,40.79,42.16,3611323
2026-05-20,41.63,43.33,40.96,42.9,3851981
2026-05-21,42.86,46.0,42.7,44.3,9084768
2026-05-22,44.75,47.81,44.6,47.01,9742354
2026-05-25,47.07,47.8,45.2,46.5,7060606
2026-05-26,46.05,51.0,46.05,47.33,9292454
2026-05-27,47.05,50.95,46.87,49.5,10947163
2026-05-28,37.11,40.8,36.68,40.63,10863680
2026-05-29,39.95,40.42,38.05,38.32,9509214
2026-06-01,38.02,39.0,37.19,37.4,6456667
2026-06-02,37.29,44.88,37.17,44.88,17070201
