date,open,high,low,close,volume
2026-01-14,42.0,42.0,41.38,41.74,27342320
2026-01-15,41.6,42.1,41.48,41.56,23255920
2026-01-16,41.58,42.0,40.66,41.0,30387097
2026-01-19,40.66,41.3,40.51,40.7,22774227
2026-01-20,40.73,40.99,40.51,40.85,19819930
2026-01-21,40.98,40.98,40.0,40.08,32067722
2026-01-22,40.1,40.85,40.0,40.65,31714973
2026-01-23,40.79,40.8,39.86,40.0,33743193
2026-01-26,40.0,42.2,39.8,41.65,68574610
2026-01-27,41.66,42.17,40.51,40.65,37479207
2026-01-28,40.8,41.84,40.36,41.18,65193036
2026-01-29,41.3,41.64,40.52,41.38,44464359
2026-01-30,41.37,42.46,41.18,41.93,44267066
2026-02-02,41.65,41.65,40.02,40.21,43835204
2026-02-03,40.25,40.48,39.52,39.6,38860258
2026-02-04,39.65,42.6,39.65,42.42,88248310
2026-02-05,41.9,42.35,41.18,41.86,36101377
2026-02-06,41.43,42.19,41.05,41.67,25180416
2026-02-09,41.87,42.44,41.58,42.21,24141492
2026-02-10,42.21,42.6,42.02,42.48,21325203
2026-02-11,42.67,42.98,42.13,42.86,19087988
2026-02-12,42.85,43.07,42.4,42.56,22467106
2026-02-13,42.56,42.58,41.11,41.45,31472002
2026-02-24,41.73,42.69,41.73,42.52,25499964
2026-02-25,42.53,42.8,42.05,42.18,22881117
2026-02-26,42.18,42.77,41.74,41.83,17143447
2026-02-27,41.9,42.45,41.68,42.26,20799222
2026-03-02,43.09,44.88,42.46,44.73,80140749
2026-03-03,44.7,46.61,43.95,45.81,85249667
2026-03-04,45.0,46.31,43.66,46.11,70864863
2026-03-05,45.65,46.3,44.6,45.88,51223726
2026-03-06,45.6,46.2,45.0,45.83,31082645
2026-03-09,47.5,49.59,47.5,47.95,88347277
2026-03-10,45.99,47.19,45.9,46.18,47132080
2026-03-11,45.8,48.06,45.51,47.83,43429537
2026-03-12,48.25,49.8,47.7,49.26,56922537
2026-03-13,49.41,49.68,48.43,48.92,39552105
2026-03-16,49.11,49.33,47.9,48.49,31934402
2026-03-17,48.01,48.65,47.21,47.74,37514190
2026-03-18,47.74,48.3,46.72,47.48,32113851
2026-03-19,48.0,49.9,47.65,49.47,55845221
2026-03-20,48.61,49.78,48.31,49.55,43742251
2026-03-23,50.23,50.38,48.8,49.5,73594838
2026-03-24,48.63,49.29,47.9,48.48,46562759
2026-03-25,47.48,47.5,46.6,47.25,57911108
2026-03-26,47.13,47.98,47.05,47.69,35922579
2026-03-27,47.56,48.03,47.18,47.5,22546507
2026-03-30,47.89,48.43,47.62,47.82,28126523
2026-03-31,47.73,48.19,46.6,46.75,39112101
2026-04-01,46.33,47.48,45.87,46.62,33588680
2026-04-02,46.68,47.9,46.68,47.69,32237381
2026-04-03,47.7,47.88,47.03,47.58,21324148
2026-04-07,47.58,48.59,47.22,48.42,26435959
2026-04-08,47.45,47.49,46.13,46.76,50272881
2026-04-09,46.8,47.3,46.58,46.79,22241764
2026-04-10,46.5,46.63,46.1,46.38,25677391
2026-04-13,46.7,46.7,46.08,46.32,23287020
2026-04-14,46.11,46.22,45.42,45.66,30157733
2026-04-15,45.21,46.01,45.0,45.83,28206227
2026-04-16,45.82,46.07,45.35,45.53,27514442
2026-04-17,45.55,45.69,45.33,45.55,21478305
2026-04-20,45.6,45.74,45.16,45.23,22446511
2026-04-21,45.23,46.16,45.22,45.98,28987052
2026-04-22,45.98,46.8,45.8,45.87,35667641
2026-04-23,45.88,47.25,45.45,46.98,41995162
2026-04-24,46.99,47.55,46.66,47.19,34547544
2026-04-27,46.5,47.17,46.32,46.78,26600507
2026-04-28,46.76,48.3,46.57,48.15,40883952
2026-04-29,48.16,48.7,47.77,47.98,33864569
2026-04-30,48.1,48.18,47.52,48.0,30525140
2026-05-06,47.6,47.99,46.67,47.73,30823063
2026-05-07,47.5,47.5,45.5,45.59,49708037
2026-05-08,45.53,45.89,45.13,45.18,28519685
2026-05-11,45.18,45.38,44.75,45.17,30877003
2026-05-12,45.17,45.38,44.94,45.2,24251826
2026-05-13,45.25,45.38,44.65,44.8,24597489
2026-05-14,44.81,45.4,44.53,45.17,34391684
2026-05-15,45.16,45.9,44.77,45.7,40667262
2026-05-18,45.95,46.18,45.26,45.85,36830715
2026-05-19,45.85,46.6,45.57,46.07,35907934
2026-05-20,46.15,46.97,46.0,46.0,30495747
2026-05-21,45.79,45.79,45.0,45.26,25264429
2026-05-22,45.26,45.49,44.7,44.98,27467336
2026-05-25,45.48,46.98,44.72,44.78,54312396
2026-05-26,44.75,45.1,44.35,44.8,36456250
2026-05-27,44.85,46.23,44.24,46.1,39744558
2026-05-28,45.8,46.87,45.6,46.15,32510879
2026-05-29,46.01,47.89,45.9,46.92,58449540
2026-06-01,47.0,49.01,47.0,49.0,57675114
2026-06-02,48.7,50.16,47.7,48.24,56686338
