代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
sh600312,600312,平高电气,20.63,-0.69,-3.236,20.630,20.640,21.32,21.35,21.36,20.17,26311911,541064885,15:00:02,24.997,2.399,2799328.660467,2799328.660467,1.93909,上交所
sz300546,300546,雄帝科技,17.04,-0.57,-3.237,17.040,17.050,17.61,17.67,17.75,16.8,3945530,67286959,16:29:45,85.2,2.849,319755.073464,235498.249392,2.85488,深交所
sz300746,300746,汉嘉数智,11.03,-0.37,-3.246,11.020,11.030,11.4,11.47,11.47,10.84,4288372,47237295,16:29:30,34.675,3.022,248989.375784,246570.63135,1.91834,深交所
sz301218,301218,华是科技,36.96,-1.24,-3.246,36.930,36.960,38.2,37.99,38.77,36.31,7603155,281984151,16:29:15,-158.763,4.644,421491.84,265014.883056,10.60365,深交所
sh603353,603353,XD和顺石,45.59,-1.53,-3.247,45.590,45.600,47.12,47.15,47.64,44.13,7051500,320633946,15:00:03,-379.917,4.877,783719.454,776935.662,4.13777,上交所
sh600838,600838,上海九百,8.34,-0.28,-3.248,8.330,8.340,8.62,8.58,8.66,8.27,11065000,92815805,15:00:03,73.74,2.166,334335.572154,334335.572154,2.76016,上交所
sz001201,001201,东瑞股份,11.61,-0.39,-3.25,11.600,11.610,12.0,12.0,12.0,11.5,3115820,36406999,15:00:00,-18.429,0.986,299287.225161,233871.880635,1.54677,深交所
sz300669,300669,沪宁股份,28.27,-0.95,-3.251,28.190,28.270,29.22,29.33,29.35,27.48,2090575,58818723,16:29:45,282.418,6.187,544778.522002,515927.321899,1.14552,深交所
sz300957,300957,贝泰妮,36.9,-1.24,-3.251,36.890,36.900,38.14,37.88,38.1,36.75,5872998,218049440,16:29:45,30.75,2.497,1563084.0,1563084.0,1.38645,深交所
sz300960,300960,通业科技,18.14,-0.61,-3.253,18.140,18.190,18.75,18.75,18.95,18.04,2085117,38082476,16:29:30,49.027,4.127,262021.89671,237413.17271,1.59317,深交所
sz002141,002141,贤丰控股,3.27,-0.11,-3.254,3.270,3.280,3.38,3.35,3.37,3.23,17470731,57232256,15:00:00,213.725,4.185,337770.005946,337770.005946,1.69137,深交所
sz300086,300086,康芝药业,6.54,-0.22,-3.254,6.540,6.550,6.76,6.72,6.76,6.43,12353400,80639967,16:30:00,-12.933,3.352,297651.364794,288201.137388,2.80329,深交所
sh601616,601616,广电电气,4.16,-0.14,-3.256,4.160,4.170,4.3,4.3,4.3,4.06,21656560,89864700,15:00:02,-102.463,1.49,355128.932704,355128.932704,2.53686,上交所
sz002036,002036,联创电子,9.21,-0.31,-3.256,9.210,9.220,9.52,9.37,9.45,9.02,69334725,641677081,15:00:00,-9.594,10.091,974047.809576,972085.820775,6.5691,深交所
sh688230,688230,芯导科技,64.44,-2.17,-3.258,64.440,64.530,66.61,65.93,66.85,63.72,1399652,91017105,15:00:03,71.6,3.368,757814.4,757814.4,1.19018,上交所
sz301069,301069,凯盛新材,18.7,-0.63,-3.259,18.700,18.710,19.33,19.28,19.4,18.43,9393400,176193691,16:29:15,61.271,3.677,847435.80823,798067.80823,2.20102,深交所
sh600984,600984,建设机械,4.45,-0.15,-3.261,4.450,4.460,4.6,4.58,4.63,4.37,32643130,145853302,15:00:03,-2.546,3.127,559384.546625,559384.546625,2.59682,上交所
sz300182,300182,捷成股份,5.93,-0.2,-3.263,5.930,5.940,6.13,6.12,6.12,5.85,222572869,1319528961,16:29:45,82.591,1.856,1579648.599776,1431860.286449,9.21778,深交所
sh600872,600872,中炬高新,18.97,-0.64,-3.264,18.960,18.970,19.61,19.51,19.68,18.95,10788568,206761077,15:00:03,27.088,2.486,1476832.005516,1462564.14115,1.39932,上交所
